m_label,a_label,D,Delta,N_dir,N_tr,selected_regime,final_N,minus_log10_R_total,S_hat_prefix,minus_log10_R_tail,minus_log10_R_rec,minus_log10_R_sum,minus_log10_R_trans,p_bits,mp_dps,lambda_eff,c_rec,c_init,c_alpha,timestamp_utc,python_version,platform,processor,mpmath_version
1e-6,1/2,1000,50,49171,1,transformed,1,1055.97906979219470260578643041,1772.45385090551606740160921082,17145255.3702396969626759707422,4287370.32881970772652760858967,1056.67803979653072141057269152,1056.07597980520275902014521373,3521,1080,9869604.40108935906545272568071,2,4,4,2026-06-07T11:48:51.487096Z,"3.13.5 (main, Jun 25 2025, 18:55:22) [GCC 14.2.0]",Linux-4.4.0-x86_64-with-glibc2.41,,1.3.0
1e-4,1/2,1000,50,4918,1,transformed,1,1056.97906979219470262601882583,177.245385090551598482863470456,171450.039593514262714269932534,43919.7461581620515371985615397,1057.67803979653072143080508694,1057.07597980520275904037760915,3521,1080,98696.0440108935814586591423095,2,4,4,2026-06-07T11:48:51.487096Z,"3.13.5 (main, Jun 25 2025, 18:55:22) [GCC 14.2.0]",Linux-4.4.0-x86_64-with-glibc2.41,,1.3.0
1e-2,1/2,1000,50,492,2,transformed,2,1057.89988854614707779241053238,17.7245385090551600884986365183,3856.13365203303021609843821729,1486.23033154659879262123093852,1058.37700980086674022970556029,1058.07597980520275903449182139,3521,1080,986.960440108935841338207756179,2,4,4,2026-06-07T11:48:51.487096Z,"3.13.5 (main, Jun 25 2025, 18:55:22) [GCC 14.2.0]",Linux-4.4.0-x86_64-with-glibc2.41,,1.3.0
1e-1,1/2,1000,50,156,5,transformed,5,1058.33294175651646460174089125,5.6049912163979285437415249022,1542.0236978540054040400779725,1100.96200585009466472001985883,1058.70091854181105899515807961,1058.57597980520275904202562972,3521,1080,98.6960440108935807096138849832,2,4,4,2026-06-07T11:48:51.487096Z,"3.13.5 (main, Jun 25 2025, 18:55:22) [GCC 14.2.0]",Linux-4.4.0-x86_64-with-glibc2.41,,1.3.0
1,1/2,1000,50,50,16,transformed,16,1058.7237224165642655465481016,1.7722704969843799523080690001,1238.19535202676333917362879713,1062.88517328044417351514827315,1058.97902486832955845171292787,1059.07593488133761486607171119,3521,1080,9.86960440108935861883449099988,2,4,4,2026-06-07T11:48:51.487096Z,"3.13.5 (main, Jun 25 2025, 18:55:22) [GCC 14.2.0]",Linux-4.4.0-x86_64-with-glibc2.41,,1.3.0
10,1/2,1000,50,16,50,direct,16,1059.75707843143854250490124716,0.164169997586177174862083422632,1329.72582083304474098636857529,1060.10926094930125286626697403,1060.01235093674077027304502482,inf,3521,1080,10.0,2,4,4,2026-06-07T11:48:51.487096Z,"3.13.5 (main, Jun 25 2025, 18:55:22) [GCC 14.2.0]",Linux-4.4.0-x86_64-with-glibc2.41,,1.3.0
100,1/2,1000,50,5,157,direct,5,1069.63784874478084601292691614,2.77758877299280411893235274922e-11,1834.59315604557499063080594353,1069.88088679346714045321165461,1070.0058255300754404063441045,inf,3521,1080,100.0,2,4,4,2026-06-07T11:48:51.487096Z,"3.13.5 (main, Jun 25 2025, 18:55:22) [GCC 14.2.0]",Linux-4.4.0-x86_64-with-glibc2.41,,1.3.0
