m_label,a_label,D,Delta,ref_dps,selected_regime,N,Delta_ref,eps_ref,bound,minus_log10_Delta_ref,minus_log10_R_total,minus_log10_bound,status,timestamp_utc,python_version,platform,processor,mpmath_version
1e-4,0,1000,50,1170,transformed,1,3.55017041233685028668293252557e-1080,1.0e-1110,1.04937377814631981576238503121e-1057,1079.44975079980089146835004457,1056.97906979219470261561275308,1056.97906979219470261561275308,pass,2026-06-07T11:49:03.125158Z,"3.13.5 (main, Jun 25 2025, 18:55:22) [GCC 14.2.0]",Linux-4.4.0-x86_64-with-glibc2.41,,1.3.0
1,0,1000,50,1170,transformed,16,2.73799428815974689546293305965e-1081,1.0e-1110,1.88919846239532248019265216658e-1059,1080.56256746220030890459378828,1058.7237224165642655465481016,1058.7237224165642655465481016,pass,2026-06-07T11:49:03.125158Z,"3.13.5 (main, Jun 25 2025, 18:55:22) [GCC 14.2.0]",Linux-4.4.0-x86_64-with-glibc2.41,,1.3.0
100,1/2,1000,50,1170,direct,5,1.19520645577401307104688144228e-1092,1.0e-1110,2.30224349858725230953833284111e-1070,1091.92255706972926352025800364,1069.63784874478084601292691614,1069.63784874478084601292691614,pass,2026-06-07T11:49:03.125158Z,"3.13.5 (main, Jun 25 2025, 18:55:22) [GCC 14.2.0]",Linux-4.4.0-x86_64-with-glibc2.41,,1.3.0
