m_label,a_label,D,Delta,expected_regime,selected_regime,N,Delta_rec_exp,eps_exp,minus_log10_Delta_rec_exp,R_total,minus_log10_R_total,status,timestamp_utc,python_version,platform,processor,mpmath_version
1e-4,0,1000,50,transformed,transformed,1,3.55017041233685028668293252557e-1080,1.0e-1170,1079.44975079980089146835004457,1.04937377814631981576238503121e-1057,1056.97906979219470261561275308,pass,2026-06-07T11:49:02.694163Z,"3.13.5 (main, Jun 25 2025, 18:55:22) [GCC 14.2.0]",Linux-4.4.0-x86_64-with-glibc2.41,,1.3.0
1,0,1000,50,transition,transformed,16,2.73799428815974689546293305965e-1081,1.0e-1170,1080.56256746220030890459378828,1.88919846239532248019265216658e-1059,1058.7237224165642655465481016,pass,2026-06-07T11:49:02.694163Z,"3.13.5 (main, Jun 25 2025, 18:55:22) [GCC 14.2.0]",Linux-4.4.0-x86_64-with-glibc2.41,,1.3.0
100,1/2,1000,50,direct,direct,5,1.19520645577401307104688144228e-1092,1.0e-1170,1091.92255706972926352025800364,2.30224349858725230953833284111e-1070,1069.63784874478084601292691614,pass,2026-06-07T11:49:02.694163Z,"3.13.5 (main, Jun 25 2025, 18:55:22) [GCC 14.2.0]",Linux-4.4.0-x86_64-with-glibc2.41,,1.3.0
