m_label,a_label,D,Delta,N_dir,N_tr,selected_regime,final_N,minus_log10_R_total,S_hat_prefix,minus_log10_R_tail,minus_log10_R_rec,minus_log10_R_sum,minus_log10_R_trans,p_bits,mp_dps,lambda_eff,c_rec,c_init,c_alpha,N_over_sqrt_D,timestamp_utc,python_version,platform,processor,mpmath_version
1e-4,1/2,1000,50,4918,1,transformed,1,1056.97906979219470261561275308,177.245385090551602729816748334,171450.039593514270930565246636,43919.7461581620535912645855108,1057.67803979653072142039901418,1057.07597980520275902997153639,3521,1080,98696.0440108935861883449099988,2,4,4,0.03162277660168379332,2026-06-07T11:48:52.156281Z,"3.13.5 (main, Jun 25 2025, 18:55:22) [GCC 14.2.0]",Linux-4.4.0-x86_64-with-glibc2.41,,1.3.0
1e-4,1/2,5000,50,10784,1,transformed,1,5056.76462217951284342056144728,177.245385090551602729816748334,171450.039593514270930565246636,47919.531710549371732069534205,5057.46359218384886222534770839,5056.8615321925208998349202306,16808,5080,98696.0440108935861883449099988,2,4,4,0.014142135623730950488,2026-06-07T11:48:52.156281Z,"3.13.5 (main, Jun 25 2025, 18:55:22) [GCC 14.2.0]",Linux-4.4.0-x86_64-with-glibc2.41,,1.3.0
1e-4,1/2,10000,50,15213,1,transformed,1,10056.8728501582404959207644887,177.245385090551602729816748334,171450.039593514270930565246636,52919.6399385280993845697372463,10057.5718201625765147255507498,10056.969760171248552335123272,33418,10080,98696.0440108935861883449099988,2,4,4,0.01,2026-06-07T11:48:52.156281Z,"3.13.5 (main, Jun 25 2025, 18:55:22) [GCC 14.2.0]",Linux-4.4.0-x86_64-with-glibc2.41,,1.3.0
1,1/2,1000,50,50,16,transformed,16,1058.7237224165642655465481016,1.7722704969843799523080690001,1238.19535202676333917362879713,1062.88517328044417351514827315,1058.97902486832955845171292787,1059.07593488133761486607171119,3521,1080,9.86960440108935861883449099988,2,4,4,0.50596442562694069312,2026-06-07T11:48:52.156281Z,"3.13.5 (main, Jun 25 2025, 18:55:22) [GCC 14.2.0]",Linux-4.4.0-x86_64-with-glibc2.41,,1.3.0
1,1/2,5000,50,108,35,transformed,35,5058.46352030789500822857373376,1.7722704969843799523080690001,5554.51428509764848798709003365,5062.67072566776231432009696735,5058.68539600960007442893911638,5058.86148726865575567102040539,16808,5080,9.86960440108935861883449099988,2,4,4,0.49497474683058326708,2026-06-07T11:48:52.156281Z,"3.13.5 (main, Jun 25 2025, 18:55:22) [GCC 14.2.0]",Linux-4.4.0-x86_64-with-glibc2.41,,1.3.0
1,1/2,10000,50,153,49,transformed,49,10058.5717482866226607287767751,1.7722704969843799523080690001,10715.2372199708815755455878775,10062.7789536464899668203000087,10058.7936239883277269291421578,10058.9697152473834081712234468,33418,10080,9.86960440108935861883449099988,2,4,4,0.49,2026-06-07T11:48:52.156281Z,"3.13.5 (main, Jun 25 2025, 18:55:22) [GCC 14.2.0]",Linux-4.4.0-x86_64-with-glibc2.41,,1.3.0
100,1/2,1000,50,5,157,direct,5,1069.63784874478084601292691614,2.77758877299280411893235274922e-11,1834.59315604557499063080594353,1069.88088679346714045321165461,1070.0058255300754404063441045,inf,3521,1080,100.0,2,4,4,0.1581138830084189666,2026-06-07T11:48:52.156281Z,"3.13.5 (main, Jun 25 2025, 18:55:22) [GCC 14.2.0]",Linux-4.4.0-x86_64-with-glibc2.41,,1.3.0
100,1/2,5000,50,11,344,direct,11,5069.36540918512130006294660992,2.77758877299280411893235274922e-11,6785.55024974264582585367561918,5069.66643918078528125816034882,5069.66643918078528125816034882,inf,16808,5080,100.0,2,4,4,0.15556349186104045537,2026-06-07T11:48:52.156281Z,"3.13.5 (main, Jun 25 2025, 18:55:22) [GCC 14.2.0]",Linux-4.4.0-x86_64-with-glibc2.41,,1.3.0
100,1/2,10000,50,16,485,direct,16,10069.4224846414015712742008122,2.77758877299280411893235274922e-11,13299.9674782914232406206094029,10069.7746671595129337583633902,10069.6777571465048773440046069,inf,33418,10080,100.0,2,4,4,0.16,2026-06-07T11:48:52.156281Z,"3.13.5 (main, Jun 25 2025, 18:55:22) [GCC 14.2.0]",Linux-4.4.0-x86_64-with-glibc2.41,,1.3.0
